root	ags.	ahd.	ai.	air.	aisl.	aksl.	alb.	anord.	arm.	as.	av.	cymr.	gall.	got.	gr.	hitt.	lat.	lett.	lit.	mhd.	mir.	mnd.	norw.	russ.	slav.	umbr.	vgl.
ā	-	ō	ā	-	-	-	-	-	-	-	-	-	-	ō	ἆ	-	ā	-	à	ō	-	-	-	-	-	-	-
ab	-	-	-	ab	-	-	-	-	-	-	-	-	-	-	-	-	amnis	-	-	-	-	-	-	-	-	-	-
ā̆bel	-	-	-	ubull	-	-	-	-	-	-	-	-	-	-	-	-	-	-	obelìs	-	-	-	-	-	-	-	-
abh	-	-	-	-	-	-	-	-	-	-	-	-	-	-	ἄφαρ	-	-	-	-	-	-	-	-	-	-	-	-
abhro	-	-	-	-	-	-	-	-	-	-	-	-	-	abrs	-	-	-	-	-	-	-	-	-	-	-	-	-
abōn	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ad	-	-	-	ad	-	-	-	-	-	-	-	â	-	-	-	-	ad	-	-	-	-	-	-	-	-	ap	-
ad	-	-	-	ad	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	arsie	-
ades	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	ador	-	-	-	-	-	-	-	-	-	-
adu	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ā̆ĝ	-	-	ajínam	-	-	-	dhī́	-	-	-	-	-	-	-	-	-	-	-	ožìnis	-	-	-	-	-	-	-	-
aĝh	-	-	ahī	-	-	-	-	-	ezn	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ā̆ĝher	-	-	áhar	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
agh	ege	-	-	-	-	-	-	ōgn	-	-	-	-	-	ōgjan	ἄχος	-	-	-	-	ege	-	-	-	-	-	-	-
aghlo	-	-	-	-	-	-	-	-	-	aglēto	-	-	-	aglaitei	-	-	-	-	-	-	-	egelen	-	-	-	-	-
aghlu	-	-	-	-	-	-	-	-	-	-	-	-	-	-	ἀχλύ̄ς	-	-	-	-	-	-	-	-	-	-	-	-
agos	-	-	ánāgas	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
agro	-	-	ágra	-	-	-	-	-	-	-	-	-	-	-	-	-	-	agrs	-	-	-	-	-	-	-	-	-
agu̯esī	-	-	-	-	-	-	-	-	-	-	-	-	-	aqizi	-	-	-	-	-	-	-	-	-	-	-	-	-
agʷhnos	ēanian	-	-	ūan	-	jagnę	-	-	-	-	-	-	-	-	ἀμνός	-	agnus	-	-	-	-	-	-	-	-	-	-
ai	-	-	ai	-	-	-	-	-	-	-	āi	-	-	-	αἴ	-	-	-	aĩ	-	-	-	-	-	-	-	-
ai	-	-	iná	-	-	-	-	-	-	-	-	-	-	faírina	αἰνός	-	-	-	-	-	-	-	-	-	-	-	-
ai	-	-	-	-	-	-	-	-	-	-	-	-	-	-	αἴνυμαι	-	-	-	-	-	-	-	-	-	-	-	-
aiti	-	-	-	-	-	-	-	-	-	-	aēta	-	-	-	αἶσα	-	-	-	-	-	-	-	-	-	-	-	-
ā̆i	āfor	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ai	-	-	-	-	-	-	-	-	-	-	-	-	-	-	αἴνημι	-	-	-	-	-	ōeth	-	-	-	-	-	-
aidh	īdel	-	inddhḗ	-	-	-	-	-	-	-	aēsma	-	-	-	-	-	aedēs	-	aistrà	-	-	-	-	-	-	-	-
ā̆ier	-	-	-	-	-	-	-	-	-	-	ayarǝ	-	-	air	-	-	-	-	-	-	-	-	-	-	-	-	-
