root	chechen	ingush	batsbi
ʔab	-	-	ʔab
ʔablV 	evla 	ovla 	-
ʔaħ	aħ	aħ	aħ
ʔaħu	oħa 	ʕo 	aħo
ʔamgir 	emgar	engar	-
ʔangalaj 	angali	-	-
ʔant	ant	-	-
ʔap	-	-	apẽ
ʔaq̇Vr	arq̇al	arq̇al	aq̇rĕ
ʔarV 	-	eri	-
ʔasar	asar	-	-
ʔastaʁa 	astaʁa	astaʁa	-
stVw	stow	esti	-
sṭo	sto	osta	sṭo
ʔaχḳV	äχkē	aχka	χḳo
ʔābst 	awst	ɔsta	-
ʔāc̣ 	az	ɔz	-
ʔāʁob	āʁō	ɔʁuw	-
ʔāḳ	āg	ag	-
ʔālVj	-	äli	-
ʔālχi	älχa	älχ	atχĕ
ʔālχVʒur	olχazar	ɔlχazar	alχaʒur
ʔāŁi	ēla	äla	ālĕ
ʔān	ān	a	ã
ʔāq̇arV	āq̇ari	-	-
ʔārcV	orcχa 	ɔrc 	-
ʔārc̣iw	ärzū	ärzi	arc̣iw
ʔārʁ 	raʁ	arʁa	-
ʔārʎi	ēra 	ärh 	ajrʎ
ʔārŁ	ār	ard	arl
ʔārŁin	ärrū	ärda	arlĩ
ʔārV	ārē	ara	-
ʔāsor 	āsar	ɔsar	-
ʔāsso	āsa	ɔsa	assŏ
ʔāsṭi	ästa 	äst 	asṭĩ
ʔāt	āt	āt	at
ʔāṭṭin	ättū	ätta	aṭṭĩ
ʔāχ	aχ	aχ	aχ
ʔāχni	ēχang	äχing	ajχnĭ
ʔeʔ 	-	-	eʔ
ʔeḳ 	-	eg	-
ʔerc̣	erz	-	-
ʔēc	ēc	ec	ec
ʔēc̣uḳ 	ȫzig 	ezig 	-
ʔēʁ	ēʁ 	eʁ 	eʁ
ʔēħ	eħ	iħ	-
ʔēs	ös	es	-
ʔēš	ēš	eš	eš
ʔi	i	iz	e
ʔibčV 	ūčē 	ujče 	-
ʔinʒa 	-	inza	-
ʔirc̣V 	irzū	-	-
ʔiss	iss	ijs	iss
ʔiṭṭ	itt	itt	iṭṭ
ʔīp	āpari	ip	-
ʔo	-	-	o
ʔoHVla 	ojla	ujla	-
ʔoleḳ 	ölg	olg	-
ʔōc̣ 	ōza	oza	oc̣ar
ʔu	u 	uj 	-
ʔulχ	ulχ	ulχ	-
ʔurd 	urd	urd	-
ʔurs	urs	urs	-
ʔurχ 	urχ	urχ	urχ
ʔurχal	-	urχal	-
ʕāq̇i	ēq̇a	ʕäq̇a	ajq̇ĭ
ʕārč̣i	ʕärža	ʕärža	ʕarč̣ĩ
ʕāsse	ēsa	ʕasa	āsĕ
ʡa	ʕa	ʕa	ʕa
ʡabiḳ	ʕajg	ʕag	ʕabiḳ
ʡabǯ 	ʕowž	ʕowž	-
ʡadurV	ʕowraš	-	-
ʡab 	ʕow	ʕow	-
ʡa	ʕ	ʕe 	ʕe
ʡaχ	ʕaχ 	ʕaχ 	ʕaχ
ʡāč̣V 	ʕōža 	ʕažaʁa 	-
ʡāg	-	ʕä 	ʕag
ʡām	ʕam	ʕam	ʕam
ʡāṭɦ	ʕad	ʕad	ʕaṭq̇
ʡāχVr	ʕāχar	ʕäχar	ʕaχrob
ʡāǯ	ʕaž	ʕaž	-
ʡe	ʕä	ʕi	-
ʡen	ʕindaʁ	ʕi	ẽ
ʡiṭṭ 	ʕitt 	ʕott	ħoṭṭ
ʡo	-	-	ʕo
ʡur	ʕürg	ʕurg	ʕür
ʡūq̇V	ʕǖq̇ē	ʕüjq̇ē	-
ʡūrV	ʕǖrē	ʕujra	ʕurdna
abs 	tħows	tħajs	-
aq	taq	taq	taq
arriḳ	errig	erriga	-
ārum	ōram	-	-
ātt	latt	latt	latt
b	b 	b 	b
b	-	-	b
b	w	w	b
bʕāl	bal	bʕal	-
bʕēχu	bȫχa	bʕeχa	-
bʕēχul	bȫχalla	bʕeχal	-
bʡa	bʕärg	bʕarg	bʕarḳ
bʡab 	bʕow	wʕow	-
bʡar 	bʕar 	bʕar ħaža 	bʕardaχar
bʡarV	bʕara 	bʕar	-
bʡast 	-	-	bʕäst
bʡastV 	bʕosta	bʕastam	-
bʡāʁum	bʕōʁam	bʕɔʁa	-
bʡārc̣on	bʕarza	bʕarza	bʕarc̣õ
bʡāra	bʕāra	bʕar	-
bʡēč̣V 	bʕēžū	-	-
bʡo	bʕo	bʕu	bʕö
babV 	-	-	babŏ
bac̣a 	baza	baza	-
bader 	ber	ber	bader
badu 	bō	bo	badŏ
baħ	baʕ	baʕ	baħ
baħen	bäħa	baħa	-
baḳa	baga	bage	baḳ
baŁ 	belš 	belaž 	bali
baq̇	baq̇ 	boq̇o 	baq̇eʔ
baq̇e	beq̇a	baq̇	baq̇ŏ
bariḳ	berg	barg	-
barḳal 	bargal 	-	barḳal
barʎ 	barh	barh	barʎ
baram	baram	-	-
barVg	berg	-	brag
baṭṭVm 	battam	-	-
baǯo	baža	bežan	bžã
baǯVl 	božal	-	-
bāpiḳ	bēpig	-	-
bārč	barč	bärče	barč
bēq	beq	beq	-
bēr	bȫra	ber	-
bač̣Vn 	božan	-	-
baḳa	baga 	baga 	-
bal	-	balam	-
barš	boršam	barš	-
bart	bart	bart	-
basV	basē 	basilg 	-
bārč	barč	barč	-
bārʒ	barz	bɔrz	-
bɦāṭ	bad 	-	baṭ
beq̇V 	-	beq̇a	-
berg 	c̣oq̇berg	-	-
b(ɦ)eṭ 	-	bɛd 	-
bɦoḳ́	bož	bož	bʕoḳ
bɦorc̣	borz	borz	bʕorc̣
bōlik 	bȫlak	-	-
bi	-	-	bi
bišV	biši	-	-
boħ	büħig	bʕijg	boħ
borc	borc	borc	borc
borš	borš 	borša 	borš
boṭ	bod	bod	boṭ
bōḳ	bog	bog	-
bōra	bōra	bora	-
buho	buha	bow	bujh
bula	bula	-	-
bumbar 	bumbari	bumbarg	-
buq̇	buq̇	buq̇	buq̇
bursa 	bursa	-	-
burḳ́ 	-	-	buruḳ
bus	büjsa	bijsa	bujsa
butob	butū	butuw	-
butt	butt	butt	butt
buṭ 	bud	bud	-
būc	buc	buc	buc
ca	ca	ca	ca
ca	cerg	carg	carḳ
caca	caca	caca	cac
cāpcV	cäpcalg	-	-
cħa	cħaʔ	caʕ	cħa
cɦōḳal	cħōgal	cogal	coḳal
ci	-	-	ci
ci	ca 	ca 	ci
cu	cu	cu	cu
cʁar 	cχar	-	-
č	rčij	rč	arč
čapu	čopa	-	-
čuχčarV 	čuχčari	-	-
ča	ča	ča	ča
čabu 	čow	čow	-
čamuʁ 	moččaʁal 	močχal 	č̣amaʁ
čarχ 	čarχ	-	-
čaχum 	čoχčam	čočχam	čχamčχam
čālu	čōla 	čɔla 	-
čil 	-	čil	-
čim	čim 	-	čim
čint	čint	-	-
čo	čo	čo	čo
čōrʁV 	čorʁē	-	-
č	ču	ču	č
čuħe	čüħa	čuħi	-
čuṭa	čuda	-	-
čuχV	čuχa	-	čujχĭ
čVwV	čō 	čē 	čuw
čVχar	čχar	čχar	-
c̣ac̣ʡVm	c̣oc̣q̇am	c̣ac̣q̇am	-
c̣aḳ 	-	-	c̣aḳ
c̣aḳu	c̣oga 	c̣og 	c̣awḳŭ
c̣ani	c̣ena	c̣ena	c̣ajn
c̣anḳu	c̣onga	c̣ong	-
c̣asṭo	c̣asta	c̣asta	c̣asṭ
c̣ā	c̣a	c̣a	c̣a
c̣ārc̣	c̣arz	-	-
c̣e	c̣e	c̣i	c̣e
c̣e	c̣e	c̣i	c̣e
c̣ēbV	c̣ū 	c̣uw 	c̣ijb
c̣ēgi	c̣ij	c̣ij	c̣ejgĭ
c̣ɦoṗ 	-	-	c̣ʕoṗ
c̣i	-	-	c̣i
c̣ic	c̣ecajoqqurg 	cicχolg 	-
c̣in	c̣ina	c̣ena	c̣inĭ
c̣in 	c̣intō 	c̣unto 	c̣in
c̣inc̣c̣	c̣inc̣olg	-	-
c̣oc̣ 	c̣oz	c̣oz	-
c̣on	c̣una dečig	c̣on	-
c̣ōka	c̣ōka	c̣oka	-
c̣ōm	c̣om	-	-
c̣ōq̇	c̣oq̇	c̣oq̇	-
c̣uc̣ 	c̣uzam	-	-
c̣uṗ	c̣ubdan	-	c̣uṗdar
c̣ur 	-	-	c̣ur
c̣Vrḳāḳi	c̣eḳega 	c̣erḳäga	-
c̣VwVn 	c̣ūn	c̣un	-
č̣ʕāre	č̣āra	č̣q̇ära	č̣arĕ
č̣ʡorṭ 	-	č̣q̇ord	-
č̣ʡōr	č̣q̇or 	č̣or 	č̣ar
č̣alḳo	-	-	č̣alḳŏ
č̣aniḳ	č̣enig	č̣ang	č̣aniḳ
č̣ariḳ	č̣erg 	č̣arga 	č̣arḳẽ
č̣āʁ	č̣āʁ	-	-
č̣āʁV	č̣ēʁag	-	-
č̣āʁVrṭiḳ	č̣ēʁardig	č̣agarg	-
č̣ič̣ 	č̣iž	-	-
č̣im	č̣im	č̣im	č̣im
č̣inḳ	č̣ing	-	-
č̣iw 	č̣ū 	č̣ij 	č̣uj
č̣uḳ	č̣ug 	č̣ug 	č̣uḳ
d	d 	d 	d
dʕāʁu	dōʁa 	dʕɔʁa 	-
da	dʕā	dʕa	daħ
dab 	dō	dɔ	-
dačeḳ	dečig 	daχča 	dačχar
daʁu	doʁa	doʁa	-
daHVχ	doʕaχ	dijχk	dʕeʔ
daħ	-	-	daħ
dak	dak 	dak 	dakŏ
daq	daq 	daq 	-
daq̇a	daq̇a	daq̇a	daq̇
darc 	darc	-	-
darʁa	ʕaddarʁa	ʕaddarʁa	-
daš	daš	daš	-
dašVb	deši	došuw	-
datta 	datta	-	tatt
daχḳa	daχka	daχka	daχḳŏ
dād	dā	da	dad
dāli	dēla	däla	dal
dāq̇ur	dōq̇ar	dɔq̇ar	-
dāttin	dätta	dätta	dattẽ
dāχoni	däχni	dɔχan	daχnĕ
dʡeχk 	däʕaχk	ṭeχk	-
derc̣	derz 	darz 	dārc̣ol
dē	de	di	de
dēcV 	dēca	-	-
do 	do	-	-
dik	dika	dika	dakĩ
diḳ	dig	dig	diḳ
dilχu	dilχa 	dulχ 	ditχĭ
dingVṭ 	dingad	-	-
ditt 	ditt 	ditt 	-
doħa	-	-	doħa
doḳ	dog	dog	doḳ
dol 	dol	dol	dol
dos	dosbuχ 	dos 	dos
doš	doš	doš	doš
doχḳ	doχk 	doχk 	doχḳ
