root	Akkadian:	Amharic:	Amorite:	Arabic:	Aramaic:	Argobba:	Biblical Aramaic:	Canaanite:	East Ethiopic:	Eblaitic:	Epigraphic South Arabian:	Gafat:	Geʕez (Ethiopian):	Gurage:	Harari:	Harsusi:	Hebrew:	Jibbali:	Judaic Aramaic:	Mandaic Aramaic:	Mehri:	Modern Arabic:	Modern Aramaic:	Phoenician:	Soqotri:	Syrian Aramaic:	Tigrai (Tigriñña):	Tigre:	Ugaritic:
																													
ʔab	abu	abbat	-	ʔab	-	-	-	-	-	-	-	-	ʔab	-	āw	ḥayb	ʔāb	ʔiy	ʔabbā	ab	ḥáyb	-	-	ʔb	ʔeʔǝb	ʔabbā	ʔabbo	ʔab	ʔab
ʔaḫʷ	aḫu	ǝt	-	ʔaḫ	-	äḥ	-	-	-	-	ʔḫ	-	ʔǝḫǝw	-	ǝḥ	-	ʔāḥ	-	ʔaḥā	aha	-	-	-	ʔḥ	ʔaʕḥa	ʔaḥā	ḥaw	ḥu	ʔaḫ
nišw	-	-	-	niswat	-	-	nǝšīn	-	-	-	-	-	-	-	-	-	nāšīm	-	nǝšīn	-	-	-	-	-	-	nešše	-	-	-
ʔinVš	nišū	-	-	ʔinsān	-	-	ʔä̆nāš	-	-	-	-	-	-	-	insi	-	ʔä̆nōš	ʔɛnsí	ʔä̆nāš	ʔanaša	ʔans	-	nâshâ	-	ʔinsíyye	ʔanāšā	-	ʔǝnās	ʔinš
ʔiš	-	-	-	-	-	-	-	-	-	-	ʔys	-	-	-	-	-	ʔīš	-	-	-	-	-	-	-	-	-	-	-	-
bāb	-	-	-	bābā	-	-	-	-	-	-	-	-	-	-	bāb	-	-	-	-	baba	-	-	bâbâ	-	bébe	bābā	-	-	-
bawbaw	bābu	-	-	baw	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
baʕl	bēlu	bal	-	baʕl	-	bǝʔǝl	bǝʕēl	-	-	-	-	bal	baʕāl	-	-	bāl	baʕal	baʕál	bʕal	-	bâl	-	-	bʕl	báʕal	baʕlā	bäʕal	bäʕal	bʕl
bin	bīnu	-	bi	ʔibn	-	-	-	-	-	-	-	-	bǝnta	-	-	ḥebūn	bēn	mín	bǝnīn	-	-	-	-	bn	bint	-	-	-	bn
bar	-	cf	-	-	-	-	bar	-	-	-	-	-	-	-	-	ber	bar	bɛr	bar	-	bǝr	-	bar	br	bar	-	-	-	-
ḥabVr	-	-	-	ḥabr	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
bVšVy	bašû	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	bšy	-	-	-	-	-
wabām	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	yābām	-	-	-	-	-	-	-	-	-	-	-	-
biybiy	-	-	-	biybiy	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
sVrway	-	särwe	-	sarīr	-	-	-	-	-	-	-	-	sarwe	-	-	-	-	-	-	-	-	-	-	-	-	-	särawit	sǝrot	-
ṣihVr	-	-	-	ṣihr	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	ṣéher	-	-	-	-
ṣ̂ayp	-	-	-	ḍayf	-	-	-	-	-	-	-	-	-	-	-	źayf	-	eź_éf	-	-	źayf	-	-	-	ḍef	-	-	-	-
